venue,state,cluster,month,net_sales,cogs_total,gross_profit,labour_total,occupancy_total,other_pnl_total,contribution,gp_pct,labour_pct,occupancy_pct,contribution_pct
Yo-Chi Albert St,QLD,BRIS,2026-07,629140.28,171126.16,458014.13,112540.73,14496.42,-29790.45,301186.52,72.8,17.9,2.3,47.9
Yo-Chi Albert St,QLD,BRIS,2026-08,606184.37,164882.15,441302.22,109922.97,14496.42,-29790.45,287092.39,72.8,18.1,2.4,47.4
Yo-Chi Albert St,QLD,BRIS,2026-09,655810.29,178380.4,477429.89,117513.9,14496.42,-29790.45,315629.12,72.8,17.9,2.2,48.1
Yo-Chi Albert St,QLD,BRIS,2026-10,628319.04,170902.78,457416.26,113117.75,14496.42,-29790.45,300011.64,72.8,18.0,2.3,47.7
Yo-Chi Albert St,QLD,BRIS,2026-11,582801.86,158522.11,424279.75,105200.17,14496.42,-29790.45,274792.71,72.8,18.1,2.5,47.2
Yo-Chi Albert St,QLD,BRIS,2026-12,606351.89,164927.71,441424.18,108639.67,14496.42,-29790.45,288497.63,72.8,17.9,2.4,47.6
Yo-Chi Albert St,QLD,BRIS,2027-01,658193.15,179028.54,479164.62,119168.94,14496.42,-29790.45,315708.81,72.8,18.1,2.2,48.0
Yo-Chi Albert St,QLD,BRIS,2027-02,559309.73,152132.25,407177.49,100664.22,14496.42,-29790.45,262226.4,72.8,18.0,2.6,46.9
Yo-Chi Albert St,QLD,BRIS,2027-03,586088.38,159416.04,426672.34,105167.2,14496.42,-29790.45,277218.27,72.8,17.9,2.5,47.3
Yo-Chi Albert St,QLD,BRIS,2027-04,644589.75,175328.41,469261.34,115484.38,14496.42,-29790.45,309490.09,72.8,17.9,2.2,48.0
Yo-Chi Albert St,QLD,BRIS,2027-05,589926.64,160460.05,429466.6,106946.74,14496.42,-29790.45,278232.99,72.8,18.1,2.5,47.2
Yo-Chi Albert St,QLD,BRIS,2027-06,584997.64,159119.36,425878.28,104915.63,14496.42,-29790.45,276675.78,72.8,17.9,2.5,47.3
Yo-Chi Balaclava,VIC,MEL,2026-07,150872.36,40071.7,110800.66,32505.68,11215.19,-18475.89,48603.9,73.4,21.5,7.4,32.2
Yo-Chi Balaclava,VIC,MEL,2026-08,159553.56,42377.43,117176.13,34834.76,11215.19,-18475.89,52650.3,73.4,21.8,7.0,33.0
Yo-Chi Balaclava,VIC,MEL,2026-09,175313.47,46563.26,128750.21,37780.56,11215.19,-18475.89,61278.57,73.4,21.6,6.4,35.0
Yo-Chi Balaclava,VIC,MEL,2026-10,196654.11,52231.33,144422.78,42565.93,11215.19,-18475.89,72165.77,73.4,21.6,5.7,36.7
Yo-Chi Balaclava,VIC,MEL,2026-11,201997.7,53650.59,148347.11,43823.81,11215.19,-18475.89,74832.22,73.4,21.7,5.6,37.0
Yo-Chi Balaclava,VIC,MEL,2026-12,196497.97,52189.86,144308.11,42275.93,11215.19,-18475.89,72341.1,73.4,21.5,5.7,36.8
Yo-Chi Balaclava,VIC,MEL,2027-01,228070.86,60575.62,167495.24,49629.08,11215.19,-18475.89,88175.08,73.4,21.8,4.9,38.7
Yo-Chi Balaclava,VIC,MEL,2027-02,203306.02,53998.08,149307.94,43921.27,11215.19,-18475.89,75695.59,73.4,21.6,5.5,37.2
Yo-Chi Balaclava,VIC,MEL,2027-03,196512.6,52193.75,144318.85,42157.19,11215.19,-18475.89,72470.58,73.4,21.5,5.7,36.9
Yo-Chi Balaclava,VIC,MEL,2027-04,174382.49,46315.99,128066.5,37765.16,11215.19,-18475.89,60610.26,73.4,21.7,6.4,34.8
